sales_line_sk,row_id_bk,order_id_bk,order_date_sk,ship_date_sk,customer_sk,product_sk,geography_sk,market_sk,ship_mode_sk,order_priority_sk,discount_band_sk,profitability_band_sk,sales_amount,profit_amount,quantity_sold,discount_rate,shipping_cost,days_to_ship,margin_pct,order_line_count,profitable_flag
29,32202,CA-2013-130477,20130409,20130413,2788,6007,3622,7,4,2,4,1,13,6.22,2,0.0,2.28,4,0.4785,1,True
30,38657,CA-2013-163594,20130413,20130415,2208,6124,3622,7,1,4,4,1,19,9.33,3,0.0,1.77,2,0.4911,1,True
31,32905,US-2013-115819,20130420,20130425,2444,6337,3622,7,3,4,4,1,23,10.22,4,0.0,3.87,5,0.4443,1,True
32,36111,CA-2013-111696,20130509,20130511,4549,6380,3622,7,1,2,4,1,18,8.07,3,0.0,3.42,2,0.4483,1,True
33,31457,CA-2013-162733,20130512,20130513,4736,6380,3622,7,1,4,4,1,6,2.69,1,0.0,0.41,1,0.4483,1,True
34,35241,CA-2013-133144,20130517,20130522,1395,6664,3622,7,3,4,4,1,17,8.5,3,0.0,1.82,5,0.5,1,True
35,39165,CA-2013-136994,20130528,20130603,2914,6091,3622,7,4,4,4,1,13,6.15,2,0.0,0.88,6,0.4731,1,True
36,34718,CA-2013-134803,20130529,20130604,928,6506,3622,7,4,3,4,1,183,84.05,8,0.0,17.93,6,0.4593,1,True
37,31855,CA-2013-113243,20130611,20130616,3567,6464,3622,7,4,4,4,1,32,15.55,5,0.0,1.91,5,0.4859,1,True
38,35475,CA-2013-148593,20130617,20130619,418,6251,3622,7,3,4,4,1,46,21.78,5,0.0,1.14,2,0.4735,1,True
39,37914,CA-2013-123512,20130618,20130620,3346,6209,3622,7,1,1,4,1,220,107.72,4,0.0,74.66,2,0.4896,1,True
40,34861,CA-2013-130029,20130704,20130707,1917,6087,3622,7,1,2,4,1,13,6.22,2,0.0,1.62,3,0.4785,1,True
41,35281,CA-2013-135265,20130708,20130710,796,6394,3622,7,3,1,4,1,49,24.47,1,0.0,10.36,2,0.4994,1,True
42,36676,CA-2013-136021,20130815,20130819,2408,6086,3622,7,4,2,4,1,16,7.61,3,0.0,2.15,4,0.4756,1,True
43,40194,CA-2013-167241,20130816,20130823,418,6654,3622,7,4,3,4,1,38,18.01,4,0.0,4.05,7,0.4739,1,True
44,32979,US-2013-101497,20130930,20131002,3739,6032,3622,7,3,2,4,1,19,9.11,1,0.0,1.89,2,0.4795,1,True
45,36300,CA-2013-155033,20131008,20131013,804,6028,3622,7,4,2,4,1,11,5.07,2,0.0,1.61,5,0.4609,1,True
46,36803,US-2013-162026,20131009,20131009,2186,6030,3622,7,2,1,4,1,62,27.88,2,0.0,3.0,0,0.4497,1,True
47,35783,CA-2013-109365,20131104,20131109,4850,6594,3622,7,4,4,4,1,315,150.98,3,0.0,22.15,5,0.4793,1,True
48,35780,CA-2013-109365,20131104,20131109,4850,6242,3622,7,4,4,4,1,116,56.98,3,0.0,5.57,5,0.4912,1,True
49,35782,CA-2013-109365,20131104,20131109,4850,6076,3622,7,4,4,4,1,19,9.33,3,0.0,1.3,5,0.4911,1,True
50,36338,CA-2013-158694,20131111,20131114,223,6343,3622,7,3,2,4,1,68,32.5,3,0.0,10.83,3,0.4779,1,True
51,36341,CA-2013-158694,20131111,20131114,223,6192,3622,7,3,2,4,1,61,28.86,5,0.0,8.68,3,0.4731,1,True
52,38276,CA-2014-149076,20140115,20140120,4334,6078,3622,7,4,4,4,1,155,69.7,5,0.0,9.12,5,0.4497,1,True
53,33379,CA-2014-104647,20140224,20140302,908,6390,3622,7,4,4,4,1,37,16.85,6,0.0,3.82,6,0.4554,1,True
54,38154,CA-2014-128965,20140418,20140423,3739,6654,3622,7,4,4,4,1,28,13.51,3,0.0,2.84,5,0.4825,1,True
55,38184,CA-2014-120222,20140426,20140503,2855,6633,3622,7,4,4,4,1,19,8.76,3,0.0,1.52,7,0.4611,1,True
56,38689,CA-2014-147844,20140503,20140507,1232,6410,3622,7,4,4,4,1,16,7.06,5,0.0,0.93,4,0.4412,1,True
57,38691,CA-2014-147844,20140503,20140507,1232,6376,3622,7,4,4,4,1,34,15.82,5,0.0,2.54,4,0.4653,1,True
58,32865,US-2014-152002,20140612,20140612,1462,6061,3622,7,2,4,4,1,123,60.26,3,0.0,23.65,0,0.4899,1,True
59,35793,CA-2014-112753,20140619,20140624,816,6292,3622,7,4,2,4,1,39,19.05,6,0.0,4.89,5,0.4885,1,True
60,39414,US-2014-113201,20140701,20140706,4740,6103,3622,7,4,4,4,1,205,100.43,5,0.0,14.98,5,0.4899,1,True
61,40527,CA-2014-133718,20140724,20140727,4541,6374,3622,7,1,1,4,1,58,27.99,9,0.0,7.82,3,0.4826,1,True
62,39039,CA-2014-105326,20140821,20140828,2729,6228,3622,7,4,4,4,1,26,12.44,4,0.0,1.27,7,0.4785,1,True
63,36877,CA-2014-137498,20140910,20140915,2784,6028,3622,7,3,4,4,1,48,22.81,9,0.0,5.29,5,0.4752,1,True
64,36521,US-2014-109582,20140913,20140918,2416,6554,3622,7,3,4,4,1,166,79.89,3,0.0,11.1,5,0.4813,1,True
65,40620,CA-2014-121853,20140924,20140930,1194,6486,3622,7,4,4,4,1,211,97.08,8,0.0,15.64,6,0.4601,1,True
66,36555,US-2014-115595,20141010,20141012,4850,6246,3622,7,1,4,4,1,35,16.54,5,0.0,7.79,2,0.4726,1,True
67,34133,CA-2014-110842,20141112,20141117,1803,6080,3622,7,4,4,4,1,19,9.33,3,0.0,1.43,5,0.4911,1,True
68,40935,US-2014-125808,20141113,20141116,1695,6264,3622,7,3,2,4,1,12,5.66,2,0.0,1.71,3,0.4717,1,True
69,34853,CA-2014-118542,20141202,20141206,808,6638,3622,7,4,4,4,1,45,21.77,7,0.0,3.56,4,0.4838,1,True
70,34184,CA-2014-102099,20141219,20141220,1695,6430,3622,7,1,4,4,1,13,6.22,2,0.0,0.94,1,0.4785,1,True
71,34185,CA-2014-102099,20141219,20141220,1695,6045,3622,7,1,4,4,1,32,15.55,5,0.0,1.09,1,0.4859,1,True
72,39800,CA-2011-164903,20110221,20110225,4375,6452,3622,7,4,2,4,1,13,6.22,2,0.0,1.14,4,0.4785,1,True
73,37315,CA-2011-102652,20110406,20110412,387,6284,3622,7,4,4,4,1,55,26.63,1,0.0,2.28,6,0.4842,1,True
74,37314,CA-2011-102652,20110406,20110412,387,6444,3622,7,4,4,4,1,19,9.33,3,0.0,2.11,6,0.4911,1,True
75,36652,CA-2011-113768,20110513,20110519,173,6420,3622,7,4,4,4,1,8,3.84,2,0.0,0.15,6,0.48,1,True
76,34943,CA-2011-146528,20110725,20110727,4784,6304,3622,7,3,2,4,1,6,3.18,1,0.0,0.79,2,0.53,1,True
77,37242,CA-2011-104178,20110825,20110829,2400,6665,3622,7,4,2,4,1,26,12.44,4,0.0,3.11,4,0.4785,1,True
78,33359,CA-2011-106439,20111031,20111104,1829,6076,3622,7,4,2,4,1,65,30.43,13,0.0,6.72,4,0.4682,1,True
79,37193,CA-2011-168305,20111101,20111108,3675,6660,3622,7,4,4,4,1,21,9.63,5,0.0,0.92,7,0.4586,1,True
80,37260,CA-2011-140732,20111111,20111113,2967,6484,3622,7,3,2,4,1,124,55.76,4,0.0,27.69,2,0.4497,1,True
81,35831,CA-2012-163104,20120319,20120326,3024,6276,3622,7,4,4,4,1,12,5.86,2,0.0,1.2,7,0.4883,1,True
82,40176,US-2012-107944,20120323,20120325,254,6101,3622,7,1,2,4,1,193,92.51,11,0.0,27.31,2,0.4793,1,True
83,39263,CA-2012-138219,20120323,20120330,611,6064,3622,7,4,4,4,1,33,16.68,4,0.0,2.16,7,0.5055,1,True
84,36017,CA-2012-142601,20120418,20120420,1238,6078,3622,7,3,4,4,1,62,27.88,2,0.0,8.38,2,0.4497,1,True
85,40347,CA-2012-165554,20120518,20120522,229,6499,3622,7,4,4,4,1,11,5.32,2,0.0,1.0,4,0.4836,1,True
86,40861,CA-2012-161242,20120601,20120608,870,6262,3622,7,4,4,4,1,12,5.76,2,0.0,0.82,7,0.48,1,True
87,32312,CA-2012-133025,20120917,20120919,3257,6557,3622,7,3,1,4,1,32,15.55,5,0.0,7.02,2,0.4859,1,True
88,37465,CA-2012-132815,20120919,20120922,4058,6617,3622,7,3,2,4,1,23,11.25,2,0.0,3.62,3,0.4891,1,True
89,33985,CA-2012-153220,20121112,20121114,4856,6410,3622,7,1,2,4,1,16,7.06,5,0.0,3.41,2,0.4412,1,True
90,35635,CA-2012-125234,20121127,20121201,4328,6077,3622,7,4,4,4,1,114,53.5,3,0.0,9.19,4,0.4693,1,True
91,41250,CA-2012-141593,20121214,20121216,1158,6665,3622,7,3,2,4,1,6,3.11,1,0.0,1.31,2,0.5183,1,True
92,39150,CA-2012-144890,20121225,20121229,4307,6213,3622,7,4,4,4,1,10,4.88,2,0.0,0.22,4,0.488,1,True
93,36296,CA-2013-129238,20130131,20130204,4134,6382,3622,7,4,4,4,1,57,27.78,5,0.0,4.73,4,0.4874,1,True
94,39700,CA-2013-154067,20130201,20130207,4315,6316,3622,7,4,4,4,1,106,48.54,4,0.0,8.11,6,0.4579,1,True
95,32017,CA-2013-112942,20130213,20130218,3889,6556,3622,7,4,4,4,1,147,73.41,3,0.0,8.08,5,0.4994,1,True
96,37310,CA-2013-159016,20130311,20130312,2628,6600,3622,7,1,2,4,1,15,7.15,5,0.0,2.67,1,0.4767,1,True
97,38143,US-2013-159093,20130510,20130515,4039,6175,3622,7,4,4,4,1,32,14.42,4,0.0,1.48,5,0.4506,1,True
98,38363,CA-2013-147473,20130531,20130604,3488,6644,3622,7,4,4,4,1,39,18.66,6,0.0,2.81,4,0.4785,1,True
99,40417,US-2013-155971,20130607,20130613,3841,6035,3622,7,4,4,4,1,100,46.95,5,0.0,4.9,6,0.4695,1,True
100,39985,CA-2013-144015,20130627,20130627,177,6390,3622,7,2,1,4,1,12,5.62,2,0.0,2.73,0,0.4683,1,True
101,38167,US-2013-126452,20130822,20130829,4142,6364,3622,7,4,3,4,1,48,21.38,9,0.0,3.43,7,0.4454,1,True
102,38166,US-2013-126452,20130822,20130829,4142,6516,3622,7,4,3,4,1,13,6.22,2,0.0,1.16,7,0.4785,1,True
103,31388,CA-2013-109806,20130918,20130923,2500,6050,3622,7,4,4,4,1,6,3.11,1,0.0,0.52,5,0.5183,1,True
104,33628,CA-2013-155187,20130925,20130927,2749,6064,3622,7,3,4,4,1,42,20.85,5,0.0,5.31,2,0.4964,1,True
105,38071,CA-2013-119018,20131105,20131109,1131,6046,3622,7,4,2,4,1,39,18.66,6,0.0,6.66,4,0.4785,1,True
106,40512,CA-2013-152646,20131122,20131127,4624,6608,3622,7,4,4,4,1,32,15.55,5,0.0,1.97,5,0.4859,1,True
107,41272,US-2013-103674,20131207,20131211,274,6113,3622,7,4,4,4,1,13,6.41,2,0.0,0.8,4,0.4931,1,True
108,32611,CA-2013-145919,20131219,20131224,1982,6421,3622,7,4,2,4,1,39,18.66,6,0.0,5.02,5,0.4785,1,True
109,33103,US-2013-116729,20131226,20131229,1861,6288,3622,7,1,4,4,1,45,21.77,7,0.0,1.33,3,0.4838,1,True
110,32488,CA-2014-117212,20140227,20140301,692,6281,3622,7,3,4,4,1,224,109.72,4,0.0,17.93,2,0.4898,1,True
111,32489,CA-2014-117212,20140227,20140301,692,6105,3622,7,3,4,4,1,23,11.33,4,0.0,2.6,2,0.4926,1,True
112,36514,CA-2014-134635,20140416,20140418,3541,6316,3622,7,3,1,4,1,79,36.4,3,0.0,17.5,2,0.4608,1,True
113,40107,CA-2014-120614,20140531,20140605,4315,6654,3622,7,4,4,4,1,38,18.01,4,0.0,1.63,5,0.4739,1,True
114,37422,CA-2014-145772,20140604,20140608,4391,6223,3622,7,4,2,4,1,12,5.38,2,0.0,1.4,4,0.4483,1,True
115,35008,CA-2014-113670,20141016,20141018,4043,6103,3622,7,1,1,4,1,205,100.43,5,0.0,35.32,2,0.4899,1,True
116,33647,CA-2014-109701,20141203,20141204,254,6499,3622,7,2,2,4,1,11,5.32,2,0.0,1.77,1,0.4836,1,True
117,39687,CA-2014-153227,20141205,20141207,1066,6262,3622,7,1,2,4,1,12,5.76,2,0.0,2.14,2,0.48,1,True
118,37848,CA-2014-161578,20141217,20141222,3825,6407,3622,7,3,2,4,1,13,6.41,2,0.0,1.23,5,0.4931,1,True
119,40135,CA-2011-153808,20110406,20110410,1745,3014,3622,7,3,2,4,1,71,18.45,3,0.0,8.74,4,0.2599,1,True
120,34831,CA-2011-110849,20110418,20110423,2375,2871,3622,7,4,2,4,1,11,3.55,5,0.0,1.79,5,0.3227,1,True
121,34830,CA-2011-110849,20110418,20110423,2375,3080,3622,7,4,2,4,1,13,3.8,4,0.0,0.6,5,0.2923,1,True
122,38493,CA-2011-116785,20110426,20110430,3127,3199,3622,7,4,2,4,1,21,6.21,5,0.0,3.37,4,0.2957,1,True
123,35707,US-2011-154879,20110506,20110511,4328,3031,3622,7,4,4,4,1,108,30.22,6,0.0,10.88,5,0.2798,1,True
124,31303,CA-2011-115812,20110609,20110614,542,3135,3622,7,4,4,4,1,7,1.97,4,0.0,0.49,5,0.2814,1,True
125,33152,CA-2011-114643,20110613,20110617,1763,3215,3622,7,4,2,4,1,15,4.79,3,0.0,2.33,4,0.3193,1,True
126,34444,CA-2011-109218,20110630,20110703,306,2963,3622,7,3,4,4,1,32,10.37,5,0.0,1.53,3,0.3241,1,True
127,40780,CA-2011-122679,20110722,20110728,50,3323,3622,7,4,4,4,1,20,6.49,6,0.0,1.37,6,0.3245,1,True
128,33364,CA-2011-106439,20111031,20111104,1829,2968,3622,7,4,2,4,1,12,3.72,3,0.0,1.78,4,0.31,1,True
129,40525,CA-2011-153619,20111103,20111103,4581,3029,3622,7,2,1,4,1,7,3.36,4,0.0,1.6,0,0.48,1,True
130,37075,CA-2011-105270,20111111,20111118,278,3165,3622,7,4,3,4,1,30,7.92,3,0.0,4.02,7,0.264,1,True
131,38919,US-2011-144078,20111125,20111129,3821,3316,3622,7,4,4,4,1,7,2.6,3,0.0,0.62,4,0.3714,1,True
132,38865,CA-2011-133830,20111205,20111210,3978,3153,3622,7,4,4,4,1,26,11.91,9,0.0,1.45,5,0.4581,1,True
133,38533,CA-2011-138737,20111207,20111210,1787,3170,3622,7,1,4,4,1,9,2.42,3,0.0,0.71,3,0.2689,1,True
134,34940,CA-2011-156594,20111220,20111223,3016,3014,3622,7,3,2,4,1,47,12.3,2,0.0,6.7,3,0.2617,1,True
135,34941,CA-2011-156594,20111220,20111223,3016,3285,3622,7,3,2,4,1,4,1.16,1,0.0,0.68,3,0.29,1,True
136,37590,CA-2012-151253,20120422,20120426,393,3315,3622,7,4,2,4,1,64,16.68,3,0.0,7.61,4,0.2606,1,True
137,35611,CA-2012-115945,20120625,20120701,46,3266,3622,7,4,4,4,1,21,5.24,2,0.0,1.56,6,0.2495,1,True
138,32801,CA-2012-153388,20120801,20120807,3607,3029,3622,7,4,4,4,1,7,3.36,4,0.0,0.33,6,0.48,1,True
139,35055,CA-2012-167745,20120918,20120923,1810,3210,3622,7,4,4,4,1,12,5.49,2,0.0,0.91,5,0.4575,1,True
140,32367,CA-2012-144652,20121120,20121126,4324,3230,3622,7,4,4,4,1,19,5.06,7,0.0,1.07,6,0.2663,1,True
141,33075,CA-2012-105347,20121124,20121128,1408,3153,3622,7,4,4,4,1,15,6.62,5,0.0,0.76,4,0.4413,1,True
142,37657,CA-2012-115693,20121210,20121215,1726,3208,3622,7,4,4,4,1,56,15.76,2,0.0,4.99,5,0.2814,1,True
143,40233,CA-2012-134117,20121217,20121219,3638,3250,3622,7,3,1,4,1,205,53.26,5,0.0,72.45,2,0.2598,1,True
144,40235,CA-2012-134117,20121217,20121219,3638,3036,3622,7,3,1,4,1,16,7.05,5,0.0,2.73,2,0.4406,1,True
145,39909,CA-2013-146437,20130128,20130201,1982,2865,3622,7,3,4,4,1,40,10.32,2,0.0,3.91,4,0.258,1,True
146,32902,US-2013-115819,20130420,20130425,2444,2900,3622,7,3,4,4,1,5,1.53,3,0.0,0.41,5,0.306,1,True
147,32903,US-2013-115819,20130420,20130425,2444,3297,3622,7,3,4,4,1,73,21.23,5,0.0,7.83,5,0.2908,1,True
148,40913,CA-2013-140256,20130823,20130830,3769,3070,3622,7,4,3,4,1,6,1.67,2,0.0,0.52,7,0.2783,1,True
149,35880,US-2013-100405,20130827,20130829,4713,2836,3622,7,3,1,4,1,8,3.8,2,0.0,2.99,2,0.475,1,True
150,40532,CA-2013-126732,20130903,20130907,2886,3322,3622,7,4,4,4,1,19,5.23,7,0.0,1.73,4,0.2753,1,True
151,31386,CA-2013-109806,20130918,20130923,2500,3335,3622,7,4,4,4,1,20,6.63,3,0.0,1.44,5,0.3315,1,True
152,41004,CA-2013-161746,20131022,20131028,1054,2836,3622,7,4,4,4,1,12,5.7,3,0.0,0.09,6,0.475,1,True
153,36344,CA-2013-158694,20131111,20131114,223,2947,3622,7,3,2,4,1,15,3.97,5,0.0,1.23,3,0.2647,1,True
154,37326,US-2013-112970,20131115,20131116,4525,3243,3622,7,1,1,4,1,10,2.85,3,0.0,2.71,1,0.285,1,True
155,40947,CA-2013-107104,20131127,20131201,3294,3285,3622,7,4,4,4,1,37,10.41,9,0.0,1.58,4,0.2814,1,True
156,40501,CA-2013-104689,20131202,20131206,1753,2935,3622,7,4,2,4,1,23,6.91,8,0.0,1.32,4,0.3004,1,True
157,41271,US-2013-103674,20131207,20131211,274,3322,3622,7,4,4,4,1,19,5.23,7,0.0,1.6,4,0.2753,1,True
158,35892,CA-2013-129868,20131227,20140101,3024,3031,3622,7,4,4,4,1,54,15.11,3,0.0,2.39,5,0.2798,1,True
159,36364,CA-2014-160934,20140116,20140120,4748,3199,3622,7,4,2,4,1,21,6.21,5,0.0,2.0,4,0.2957,1,True
160,35259,CA-2014-134838,20140220,20140221,1569,2869,3622,7,1,2,4,1,13,3.47,3,0.0,0.83,1,0.2669,1,True
161,31716,CA-2014-110478,20140305,20140310,4358,2990,3622,7,4,4,4,1,9,2.7,4,0.0,0.7,5,0.3,1,True
162,40310,CA-2014-143084,20140319,20140323,607,3124,3622,7,4,4,4,1,14,3.75,5,0.0,0.56,4,0.2679,1,True
163,38799,US-2014-120117,20140331,20140331,4537,2898,3622,7,2,2,4,1,6,2.07,2,0.0,0.38,0,0.345,1,True
164,35935,CA-2014-168228,20140428,20140430,278,3014,3622,7,1,2,4,1,47,12.3,2,0.0,10.4,2,0.2617,1,True
165,35933,CA-2014-168228,20140428,20140430,278,3184,3622,7,1,2,4,1,124,33.46,4,0.0,18.3,2,0.2698,1,True
166,35934,CA-2014-168228,20140428,20140430,278,2836,3622,7,1,2,4,1,12,5.7,3,0.0,2.53,2,0.475,1,True
167,36822,CA-2014-154501,20140501,20140506,1509,3129,3622,7,4,4,4,1,10,4.01,2,0.0,0.21,5,0.401,1,True
168,38690,CA-2014-147844,20140503,20140507,1232,2999,3622,7,4,4,4,1,60,15.48,3,0.0,3.63,4,0.258,1,True
169,38541,US-2014-151127,20140523,20140526,3978,3092,3622,7,1,4,4,1,50,18.83,7,0.0,5.26,3,0.3766,1,True
170,33585,CA-2014-143343,20140611,20140614,731,3080,3622,7,1,4,4,1,16,4.76,5,0.0,1.49,3,0.2975,1,True
171,34169,CA-2014-135167,20140616,20140621,4182,3085,3622,7,4,4,4,1,4,1.75,1,0.0,0.29,5,0.4375,1,True
172,36006,CA-2014-138149,20140630,20140701,4844,2821,3622,7,1,2,4,1,12,3.04,2,0.0,2.05,1,0.2533,1,True
173,36875,CA-2014-137498,20140910,20140915,2784,3243,3622,7,3,4,4,1,7,1.9,2,0.0,0.2,5,0.2714,1,True
174,38018,CA-2014-102974,20140920,20140925,1412,2906,3622,7,4,4,4,1,23,6.06,2,0.0,1.41,5,0.2635,1,True
175,38019,CA-2014-102974,20140920,20140925,1412,3336,3622,7,4,4,4,1,17,4.85,3,0.0,0.88,5,0.2853,1,True
176,38959,US-2014-141509,20140930,20141002,4162,3052,3622,7,1,1,4,1,99,25.79,5,0.0,4.52,2,0.2605,1,True
177,37238,CA-2014-112431,20141013,20141015,4066,2909,3622,7,3,2,4,1,6,1.59,2,0.0,0.81,2,0.265,1,True
178,32527,CA-2014-100013,20141107,20141112,4867,2915,3622,7,4,4,4,1,6,1.76,2,0.0,0.19,5,0.2933,1,True
179,41028,CA-2014-124261,20141115,20141120,2182,3199,3622,7,4,4,4,1,34,9.93,8,0.0,1.02,5,0.2921,1,True
180,33649,CA-2014-109701,20141203,20141204,254,3029,3622,7,2,2,4,1,10,5.04,6,0.0,0.23,1,0.504,1,True
181,35587,CA-2014-102407,20141210,20141214,364,2803,3622,7,3,4,4,1,11,2.79,2,0.0,1.5,4,0.2536,1,True
182,34183,CA-2014-102099,20141219,20141220,1695,3241,3622,7,1,4,4,1,7,1.79,3,0.0,1.05,1,0.2557,1,True
183,31811,CA-2014-163405,20141222,20141226,583,2953,3622,7,4,2,4,1,6,1.71,2,0.0,0.66,4,0.285,1,True
184,31810,CA-2014-163405,20141222,20141226,583,3241,3622,7,4,2,4,1,7,1.79,3,0.0,0.29,4,0.2557,1,True
185,34851,CA-2011-120838,20110323,20110326,3703,6849,3622,7,3,2,4,1,330,85.9,2,0.0,34.62,3,0.2603,1,True
186,38953,US-2011-120740,20110415,20110415,3743,2369,3622,7,2,1,4,1,107,31.02,2,0.0,20.75,0,0.2899,1,True
187,34944,CA-2011-146528,20110725,20110727,4784,7631,3622,7,3,2,4,1,16,4.5,4,0.0,0.86,2,0.2812,1,True
188,40184,CA-2011-169642,20110727,20110730,400,7076,3622,7,3,4,4,3,276,0.0,2,0.0,32.27,3,0.0,1,False
189,35143,CA-2011-101931,20111028,20111031,4709,7164,3622,7,1,2,4,1,141,38.18,5,0.0,14.96,3,0.2708,1,True
190,35141,CA-2011-101931,20111028,20111031,4709,7466,3622,7,1,2,4,3,481,14.42,2,0.0,21.55,3,0.03,1,True
191,35140,CA-2011-101931,20111028,20111031,4709,7604,3622,7,1,2,4,3,6,0.06,2,0.0,1.41,3,0.01,1,True
192,37259,CA-2011-140732,20111111,20111113,2967,2505,3622,7,3,2,4,1,8,2.02,2,0.0,0.92,2,0.2525,1,True
193,36316,CA-2011-127558,20111115,20111118,4395,7632,3622,7,1,4,4,1,20,5.32,2,0.0,5.13,3,0.266,1,True
194,40007,CA-2011-119144,20111116,20111118,2159,6900,3622,7,1,1,4,3,345,10.35,3,0.0,89.84,2,0.03,1,True
195,32868,US-2011-157385,20111123,20111125,4138,4512,3622,7,1,1,4,1,22,10.48,3,0.0,2.9,2,0.4764,1,True
196,39011,CA-2011-150203,20111205,20111207,2099,2485,3622,7,1,2,4,1,250,72.58,6,0.0,36.78,2,0.2903,1,True
197,38362,CA-2011-106726,20111206,20111208,4043,6955,3622,7,1,1,4,1,1261,327.95,7,0.0,506.49,2,0.2601,1,True
198,40090,CA-2011-162992,20111219,20111221,611,5119,3622,7,1,4,4,1,23,8.79,5,0.0,2.33,2,0.3822,1,True
199,40089,CA-2011-162992,20111219,20111221,611,5684,3622,7,1,4,4,1,15,6.87,2,0.0,1.2,2,0.458,1,True
200,32473,CA-2011-120243,20111227,20111230,364,5906,3622,7,3,2,4,1,12,5.43,4,0.0,1.06,3,0.4525,1,True
201,33547,CA-2012-116092,20120215,20120218,2420,2479,3622,7,3,4,4,1,541,157.02,6,0.0,43.71,3,0.2902,1,True
202,36016,CA-2012-142601,20120418,20120420,1238,7095,3622,7,3,4,4,3,947,9.47,7,0.0,36.83,2,0.01,1,True
203,34083,CA-2012-149972,20120921,20120923,857,4986,3622,7,1,2,4,1,8,2.53,2,0.0,1.9,2,0.3162,1,True
